key,doi,title,year,venue,type,citations,strands,duplicates_merged,title_only,questions,decision,reason
doi:10.1139/cjfr-2016-0510,10.1139/cjfr-2016-0510,Climatic conditions for emergence and flight of mountain pine beetle: implications for long-distance dispersal,2017,,,14,openalex+semantic_scholar,4,0,q1 q4,pass,
doi:10.1111/j.0906-7590.2007.05453.x,10.1111/j.0906-7590.2007.05453.x,Movement of outbreak populations of mountain pine beetle: influences of spatiotemporal patterns and climate,2008,,,218,openalex+semantic_scholar,4,0,q1 q2 q3 q5,pass,
doi:10.1007/s10614-014-9442-y,10.1007/s10614-014-9442-y,Spatial Dynamics of Optimal Management in Bioeconomic Systems,2015,,,34,semantic_scholar,1,1,,exclude,no-spread
doi:10.1111/gcb.15861,10.1111/gcb.15861,Climate‐induced outbreaks in high‐elevation pines are driven primarily by immigration of bark beetles from historical hosts,2021,Global Change Biology,,25,openalex+semantic_scholar,4,0,q1 q2 q3,pass,
doi:10.1890/es10-00172.1,10.1890/es10-00172.1,Mountain pine beetle dispersal: spatiotemporal patterns and role in the spread and expansion of the present outbreak,2011,,,37,openalex+semantic_scholar,8,0,q1 q2 q3 q4 q6,pass,
doi:10.5589/cjrs3406fi,10.5589/cjrs3406fi,Full Issue in PDF / Numéro complet enform PDF,2008,,,0,semantic_scholar,1,1,,exclude,no-spread
ttl:authorsmagdabiesiadaspatialdistributionofmountainpinebeetleinthemoricetimbersupplyareainwesternbritishcolumbiabetween1995and2002,,Authors: Magda Biesiada Spatial Distribution of Mountain Pine Beetle in the Morice Timber Supply Area in Western British Columbia between 1995 and 2002,2007,,,0,semantic_scholar,1,1,,exclude,off-topic
ttl:approachesformodelingspatialdynamicsofforestinsectdisturbancetheintegrationofgisciencecomplexsystemstheoryandswarmingintelligence,,"Approaches for modeling spatial dynamics of forest insect disturbance: the integration of GIScience, complex systems theory and swarming intelligence",2011,,,0,openalex+semantic_scholar,2,0,q1 q2 q3,pass,
doi:10.1016/j.foreco.2014.10.034,10.1016/j.foreco.2014.10.034,"A spatiotemporal pattern analysis of potential mountain pine beetle emergence in British Columbia, Canada",2015,,,11,openalex+semantic_scholar,6,1,,exclude,off-topic
doi:10.1111/j.2006.0906-7590.04445.x,10.1111/j.2006.0906-7590.04445.x,"Landscape level analysis of mountain pine beetle in British Columbia, Canada: spatiotemporal development and spatial synchrony within the present outbreak",2006,,,243,openalex+semantic_scholar,6,0,q1 q2 q3 q5 q6,pass,
ttl:evaluationofmountainpinebeetleinfestationslazierandmeadowcreekdrainagesplainsdistrictlolonationalforestmontana1975,,"Evaluation of mountain pine beetle infestations, Lazier and Meadow Creek drainages, Plains District, Lolo National Forest, Montana, 1975",1975,,,0,semantic_scholar,0,1,,exclude,off-topic
doi:10.1029/2008jg000760,10.1029/2008jg000760,"Large‐scale climatic patterns and area affected by mountain pine beetle in British Columbia, Canada",2009,,,51,openalex+semantic_scholar,6,0,q1 q2 q3 q4 q5,pass,
doi:10.1016/j.agrformet.2015.03.006,10.1016/j.agrformet.2015.03.006,Spatiotemporal mapping of potential mountain pine beetle emergence - Is a heating cycle a valid surrogate for potential beetle emergence?,2015,,,7,openalex+semantic_scholar,1,1,,exclude,off-topic
doi:10.1088/1748-9326/ab7953,10.1088/1748-9326/ab7953,Fire weather drives daily area burned and observations of fire behavior in mountain pine beetle affected landscapes,2020,Environmental Research Letters,,20,openalex+semantic_scholar,1,0,,exclude,off-topic
ttl:mountainpinebeetleoutbreakdevelopmenttheendemicincipientepidemictransition,,Mountain Pine Beetle Outbreak Development : the Endemic-Incipient Epidemic Transition,2007,,,18,semantic_scholar,0,1,,exclude,off-topic
doi:10.1006/tpbi.1997.1350,10.1006/tpbi.1997.1350,Model Analysis of Spatial Patterns in Mountain Pine Beetle Outbreaks.,1998,Theoretical Population Biology,,136,openalex+semantic_scholar,1,1,,exclude,off-topic
ttl:spatiotemporalvariationsinthefireregimesofwhitebarkpinepinusalbicaulisengelmforestswesternmontanausaandtheirmanagementimplications,,"Spatiotemporal Variations in the Fire Regimes of Whitebark Pine ( Pinus albicaulis Engelm.) Forests, Western Montana, USA, and Their Management Implications",2005,,,2,semantic_scholar,0,1,,exclude,no-spread
doi:10.3398/064.079.0402,10.3398/064.079.0402,Environmental Determinants of Recruitment Success of Subalpine Fir (Abies lasiocarpa) in a Mixed-Conifer Forest,2019,Western North American Naturalist,,1,openalex+semantic_scholar,1,0,,exclude,off-topic
doi:10.5539/jsd.v5n9p106,10.5539/jsd.v5n9p106,Spatial Analysis of High Resolution Aerial Photographs to Analyze the Spread of Mountain Pine Beetle Infestations,2012,,,12,openalex+semantic_scholar,3,0,q1 q2 q3 q5,pass,
ttl:negativedensitydependentdispersalofthemountainpinebeetleinalberta,,Negative density-dependent dispersal of the mountain pine beetle in Alberta,2024,,,0,semantic_scholar,3,0,q1 q2 q3 q4,pass,
doi:10.1002/ecs2.70544,10.1002/ecs2.70544,Evidence of negative density‐dependent dispersal in an invasive forest pest,2026,Ecosphere,,0,semantic_scholar,3,0,q1 q2 q3 q4,pass,
doi:10.1111/j.1365-2699.2009.02100.x,10.1111/j.1365-2699.2009.02100.x,"Spatial–temporal analysis of species range expansion: the case of the mountain pine beetle, Dendroctonus ponderosae",2009,,,101,openalex+semantic_scholar,5,0,q1 q2 q3 q4,pass,
doi:10.1002/eap.1404,10.1002/eap.1404,Aggregation and a strong Allee effect in a cooperative outbreak insect.,2016,Ecological Applications,,30,openalex+semantic_scholar,1,0,,exclude,off-topic
doi:10.1093/forestscience/57.4.320,10.1093/forestscience/57.4.320,Spatiotemporal Relationships between Climate and Whitebark Pine Mortality in the Greater Yellowstone Ecosystem,2011,Forestry sciences,,47,openalex+semantic_scholar,1,0,q7,pass,
doi:10.1111/j.1600-0587.2013.00470.x,10.1111/j.1600-0587.2013.00470.x,"A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia, Canada",2014,,,26,openalex+semantic_scholar,6,0,q1 q2 q3 q4 q6,pass,
doi:10.5849/forsci.13-064,10.5849/forsci.13-064,Landscape Dynamics of Mountain Pine Beetles,2014,,,15,openalex+semantic_scholar,5,1,,exclude,off-topic
doi:10.1890/11-1055.1,10.1890/11-1055.1,Spatiotemporal patterns of mountain pine beetle activity in the southern Rocky Mountains.,2012,Ecology,,182,openalex+semantic_scholar,6,0,q1 q3 q5,pass,
doi:10.3390/f11111215,10.3390/f11111215,"Integrating Neighborhood Effect and Supervised Machine Learning Techniques to Model and Simulate Forest Insect Outbreaks in British Columbia, Canada",2020,,,13,openalex+semantic_scholar,4,0,q1 q2 q3,pass,
doi:10.1016/j.apgeog.2014.09.012,10.1016/j.apgeog.2014.09.012,Characterizing recent and projecting future potential patterns of mountain pine beetle outbreaks in the Southern Rocky Mountains,2014,,,21,openalex+semantic_scholar,4,0,q1 q2 q3 q7,pass,
doi:10.1016/j.foreco.2014.11.030,10.1016/j.foreco.2014.11.030,"Spatiotemporal dynamics of recent mountain pine beetle and western spruce budworm outbreaks across the Pacific Northwest Region, USA",2015,,,89,openalex+semantic_scholar,7,1,,exclude,off-topic
ttl:aspatiotemporalmountainpinebeetleoutbreakmodelpredictingseveritycycleperiodandinvasionspeed,,"A Spatiotemporal Mountain Pine Beetle Outbreak Model Predicting Severity, Cycle Period, and Invasion Speed",2016,,,0,semantic_scholar,1,1,q1 q2 q3,pass,
doi:10.1016/j.envsoft.2009.08.004,10.1016/j.envsoft.2009.08.004,Modeling mountain pine beetle infestation with an agent-based approach at two spatial scales,2010,Environmental Modelling & Software,,57,openalex+semantic_scholar,5,1,,exclude,off-topic
doi:10.1002/ecs2.1396,10.1002/ecs2.1396,Using spatiotemporal correlative niche models for evaluating the effects of climate change on mountain pine beetle,2016,,,20,openalex+semantic_scholar,2,0,q1 q2 q3,pass,
doi:10.1002/ecs2.1482,10.1002/ecs2.1482,Assessing spatiotemporal relationships between wildfire and mountain pine beetle disturbances across multiple time lags,2016,,,8,openalex+semantic_scholar,1,0,,exclude,off-topic
ttl:mappingdisturbanceinteractionsfromearthandspaceinsecteffectsontreemortalityfuelsandwildfiresacrossforestsofthepacificnorthwest,,"Mapping disturbance interactions from earth and space : insect effects on tree mortality, fuels, and wildfires across forests of the Pacific Northwest",2014,,,2,semantic_scholar,3,1,,exclude,no-spread
doi:10.1034/j.1600-0706.2001.950114.x,10.1034/j.1600-0706.2001.950114.x,Density-dependent dispersal in host-parasitoid assemblages,2001,,,77,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1093/evolut/qpag067,10.1093/evolut/qpag067,Revisiting the Evolution of Wing Dimorphisms in the Genomics Era.,2026,Evolution; international journal of organic evolution,,2,semantic_scholar,0,0,q2,pass,
doi:10.3354/esr00913,10.3354/esr00913,Evaluating viability of sea turtle foraging populations at high latitudes: age and growth of juveniles along the French Atlantic coast,2018,Endangered Species Research,,7,semantic_scholar,0,0,q2,pass,
ttl:modelmatematikapenyebaranpenyakitdemamberdarahdenguetipesir,,Model Matematika Penyebaran Penyakit Demam Berdarah Dengue Tipe SIR.,2019,,,0,semantic_scholar,0,1,,exclude,no-spread
doi:10.1111/j.1365-294x.2007.03224.x,10.1111/j.1365-294x.2007.03224.x,"Mitochondrial phylogeography of New Zealand freshwater crayfishes, Paranephrops spp.",2007,Molecular Ecology,,69,semantic_scholar,0,1,,exclude,no-spread
ttl:theevolutionofmutationrateinsexualpopulationsduringrangeexpansion,,The evolution of mutation rate in sexual populations during range expansion,2015,,,0,semantic_scholar,0,1,q2,pass,
doi:10.1101/2021.07.28.21261200,10.1101/2021.07.28.21261200,Assessing optimal time between doses in two-dose vaccination regimen in an ongoing epidemic of SARS-CoV-2,2021,medRxiv,,1,semantic_scholar,0,0,q2,pass,
ttl:spatialandtemporalpatternsofmangroveabundancediversityandfunctionsinthesundarbans,,"Spatial and temporal patterns of mangrove abundance, diversity and functions in the Sundarbans",2017,,,3,semantic_scholar,0,1,,exclude,no-spread
doi:10.1007/s10530-013-0552-6,10.1007/s10530-013-0552-6,Modeling the spread of invasive species using dynamic network models,2013,Biological Invasions,,3,semantic_scholar,1,0,q2,pass,
doi:10.7717/peerj.6264,10.7717/peerj.6264,Intraspecific divergences and phylogeography of Panzerina lanata (Lamiaceae) in northwest China,2019,PeerJ,,13,semantic_scholar,0,0,q2,pass,
doi:10.1002/ece3.4686,10.1002/ece3.4686,Demographic processes limit upward altitudinal range expansion in a threatened tropical palm,2018,Ecology and Evolution,,15,semantic_scholar,0,0,q2,pass,
doi:10.1073/pnas.1521056113,10.1073/pnas.1521056113,Range expansions transition from pulled to pushed waves as growth becomes more cooperative in an experimental microbial population,2016,Proceedings of the National Academy of Sciences of the United States of America,,83,semantic_scholar,1,1,,exclude,off-topic
doi:10.1111/gcb.12874,10.1111/gcb.12874,Hurricanes accelerated the Florida–Bahamas lionfish invasion,2015,Global Change Biology,,35,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1038/s41598-020-78633-3,10.1038/s41598-020-78633-3,Spatial heterogeneities of human-mediated dispersal vectors accelerate the range expansion of invaders with source–destination-mediated dispersal,2020,Scientific Reports,,17,semantic_scholar,0,0,q2,pass,
doi:10.1101/008979,10.1101/008979,Evolving mutation rate advances invasion speed of sexual species,2014,bioRxiv,,11,openalex+semantic_scholar,1,0,q2,pass,
ttl:theroleofbehaviorandhabitatavailabilityonspeciesgeographicexpansion,,The role of behavior and habitat availability on species geographic expansion,2021,,,1,semantic_scholar,0,1,,exclude,off-topic
ttl:insectsintheurbanlandscape,,Insects in the Urban Landscape,2005,,,0,semantic_scholar,1,1,,exclude,no-spread
doi:10.1016/j.jas.2020.105148,10.1016/j.jas.2020.105148,Long-distance dispersal effects and Neolithic waves of advance,2020,Journal of Archaeological Science,,9,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1016/j.ecolmodel.2010.11.031,10.1016/j.ecolmodel.2010.11.031,"Application of a spatial meta-population model with stochastic parameters to the management of the invasive grass Nassella trichotoma in North Canterbury, New Zealand.",2011,,,12,openalex+semantic_scholar,1,1,q2,pass,
doi:10.1016/j.vaccine.2011.02.046,10.1016/j.vaccine.2011.02.046,Regional patterns of mortality during the 1918 influenza pandemic in Newfoundland.,2011,Vaccine,,37,semantic_scholar,0,1,,exclude,no-spread
doi:10.3389/fevo.2019.00291,10.3389/fevo.2019.00291,Spatio-Temporal Patterns of Climatic Niche Dynamics of an Invasive Plant Mikania micrantha Kunth and Its Potential Distribution Under Projected Climate Change,2019,Frontiers in Ecology and Evolution,,22,semantic_scholar,0,0,q2,pass,
ttl:grizzlybearuseofforestservicegrazingallotmentsinthegreateryellowstoneecosystemposter,,Grizzly Bear Use of Forest Service Grazing Allotments in The Greater Yellowstone Ecosystem (Poster),2016,,,0,semantic_scholar,0,1,,exclude,no-spread
doi:10.1525/cond.2012.114.1.236,10.1525/cond.2012.114.1.236,Board of Directors Nominations,2012,,,0,semantic_scholar,0,1,,exclude,no-spread
doi:10.21128/1812-7126-2023-2-157-167,10.21128/1812-7126-2023-2-157-167,Human rights and their limitations during COVID-19 (New Zealand example),2023,Sravnitel noe konstitucionnoe obozrenie,,0,semantic_scholar,0,0,q2,pass,
doi:10.1111/j.1365-294x.2008.03721.x,10.1111/j.1365-294x.2008.03721.x,Cladogenesis and phylogeography of the lizard Phrynocephalus vlangalii (Agamidae) on the Tibetan plateau,2008,Molecular Ecology,,81,semantic_scholar,0,1,,exclude,no-spread
doi:10.1603/0046-225x-34.2.494,10.1603/0046-225x-34.2.494,Genetic Structuring of Western Corn Rootworm (Coleoptera: Chrysomelidae) Populations in the United States Based on Microsatellite Loci Analysis,2005,,,68,semantic_scholar,0,0,q2,pass,
doi:10.1093/icb/icn040,10.1093/icb/icn040,Noctuid migration in Texas within the nocturnal aeroecological boundary layer.,2007,Integrative and Comparative Biology,,111,semantic_scholar,0,1,,exclude,off-topic
doi:10.1890/1051-0761(1998)008[1170:mostso]2.0.co;2,10.1890/1051-0761(1998)008[1170:mostso]2.0.co;2,MODEL OF SLOWING THE SPREAD OF GYPSY MOTH (LEPIDOPTERA: LYMANTRIIDAE) WITH A BARRIER ZONE,1998,,,230,semantic_scholar,0,1,q1 q2,pass,
doi:10.1111/phen.12016,10.1111/phen.12016,"Transcriptome sequencing as a platform to elucidate molecular components of the diapause response in the Asian tiger mosquito, Aedes albopictus",2013,Physiological entomology (Print),,31,semantic_scholar,0,0,q2,pass,
doi:10.1016/j.quaint.2020.12.019,10.1016/j.quaint.2020.12.019,Application of the ecocultural range expansion model to modern human dispersals in Asia,2020,,,10,semantic_scholar,0,0,q2,pass,
ttl:mandatorysocialdistancingforcovid19outbreak,,Mandatory Social Distancing for Covid-19 Outbreak,2021,,,1,semantic_scholar,0,1,,exclude,no-spread
doi:10.1086/661783,10.1086/661783,Population Genetics and the Evolution of Geographic Range Limits in an Annual Plant,2011,American Naturalist,,61,semantic_scholar,0,1,,exclude,no-spread
doi:10.1101/2025.11.16.688699,10.1101/2025.11.16.688699,Predicting current and future distribution of the common waxbill using a mechanistic modelling approach,2025,bioRxiv,,0,semantic_scholar,0,0,q2,pass,
doi:10.1111/evo.14042,10.1111/evo.14042,Expressed mutational load increases toward the edge of a species’ geographic range,2020,Evolution; international journal of organic evolution,,32,semantic_scholar,0,0,q2,pass,
doi:10.1017/s002531541900064x,10.1017/s002531541900064x,Morphometric and molecular characterization of an expanding Ionian population of the fireworm Hermodice carunculata (Annelida),2019,Journal of the Marine Biological Association of the United Kingdom,,14,semantic_scholar,0,0,q2,pass,
doi:10.20944/preprints201701.0040.v1,10.20944/preprints201701.0040.v1,"Sarcocystis neurona Protein Kinases: Computational Identification, Evolutionary Analysis and Putative Inhibitor Docking",2017,,,0,semantic_scholar,0,0,q2,pass,
doi:10.1186/1471-2148-13-228,10.1186/1471-2148-13-228,"Is agriculture driving the diversification of the Bemisia tabaci species complex (Hemiptera: Sternorrhyncha: Aleyrodidae)?: Dating, diversification and biogeographic evidence revealed",2013,BMC Evolutionary Biology,,104,semantic_scholar,0,0,q2,pass,
doi:10.1101/731919,10.1101/731919,Adaptive Introgression Promotes Fast Adaptation In Oaks Marginal Populations,2019,bioRxiv,,3,semantic_scholar,0,0,q2,pass,
doi:10.3390/insects14100810,10.3390/insects14100810,Niche and Range Shifts of Aedes aegypti and Ae. albopictus Suggest That the Latecomer Shows a Greater Invasiveness,2023,Insects,,33,semantic_scholar,0,0,q2,pass,
ttl:simulatingvegetationmigrationinresponsetoclimatechangeinadynamicvegetationclimatemodel,,Simulating Vegetation Migration in Response to Climate Change in a Dynamic Vegetation-climate Model,2013,,,0,semantic_scholar,0,1,,exclude,off-topic
doi:10.1890/08-0115.1,10.1890/08-0115.1,"Dispersal in heterogeneous habitats: thresholds, spatial scales, and approximate rates of spread.",2009,Ecology,,124,openalex+semantic_scholar,1,0,q2,pass,
doi:10.7717/peerj.5296,10.7717/peerj.5296,Genetic diversity and population structure of the endangered basal angiosperm Brasenia schreberi (Cabombaceae) in China,2018,PeerJ,,24,semantic_scholar,0,0,q2,pass,
ttl:usingaerialmappingtoanalysethedensityandspreadofscotchbroom,,USING AERIAL MAPPING TO ANALYSE THE DENSITY AND SPREAD OF SCOTCH BROOM,2001,,,2,semantic_scholar,0,1,,exclude,off-topic
doi:10.47470/0044-197x-2025-69-6-567-572,10.47470/0044-197x-2025-69-6-567-572,Modern methods of sanitary and hygienic education in the activities of the Center for Hygienic Education of the Population of Rospotrebnadzor during the spread of the new coronavirus infection (COVID-19) in the Russian Federation,2025,Health Care of the Russian Federation,,0,semantic_scholar,0,0,q2,pass,
doi:10.1002/ece3.72947,10.1002/ece3.72947,Predicting the Potential Spread of Invasive Reptiles From Hong Kong and Taiwan to Other Regions of China,2026,Ecology and Evolution,,0,semantic_scholar,0,0,q2,pass,
doi:10.1186/s40462-025-00618-6,10.1186/s40462-025-00618-6,Unexpected migration patterns in a high-latitude breeding songbird: evidence from multi-sensor geolocators and isotopes,2025,Movement Ecology,,0,semantic_scholar,0,0,q2,pass,
doi:10.1111/j.1420-9101.2009.01836.x,10.1111/j.1420-9101.2009.01836.x,Influence of learning on range expansion and adaptation to novel habitats,2009,Journal of Evolutionary Biology,,38,semantic_scholar,0,0,q2,pass,
doi:10.1371/journal.pone.0067871,10.1371/journal.pone.0067871,Are Anomalous Invasion Speeds Robust to Demographic Stochasticity?,2013,PLoS ONE,,0,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1002/ajb2.16254,10.1002/ajb2.16254,"Molecular phylogeography and historical demography of a widespread herbaceous species from eastern North America, Podophyllum peltatum.",2023,American-Eurasian journal of botany,,7,semantic_scholar,0,0,q2 q7,pass,
doi:10.1007/s10750-020-04447-z,10.1007/s10750-020-04447-z,Exceeding its own limits: range expansion in Argentina of the globally invasive apple snail Pomacea canaliculata,2020,Hydrobiologia,,0,semantic_scholar,1,1,,exclude,off-topic
ttl:recentrecordsoftheendangeredwesternbandedkillifishfundulusdiaphanusmenonaintheportageriverbasinohio,,"Recent Records of the Endangered Western Banded Killifish , Fundulus diaphanus menona , in the Portage River Basin , Ohio",2006,,,0,semantic_scholar,1,1,,exclude,no-spread
doi:10.1186/s12862-015-0363-8,10.1186/s12862-015-0363-8,Were sea level changes during the Pleistocene in the South Atlantic Coastal Plain a driver of speciation in Petunia (Solanaceae)?,2015,BMC Evolutionary Biology,,38,semantic_scholar,1,0,q2,pass,
doi:10.3389/fpls.2024.1345624,10.3389/fpls.2024.1345624,Demographic patterns of two related desert shrubs with overlapping distributions in response to past climate changes,2024,Frontiers in Plant Science,,2,semantic_scholar,0,0,q2,pass,
doi:10.1016/0006-3207(96)00015-8,10.1016/0006-3207(96)00015-8,Geographic spread of exotic species: Ecological lessons and opportunities from the invasion of the zebra mussel Dreissena polymorpha,1996,,,207,semantic_scholar,0,1,,exclude,off-topic
doi:10.1093/aob/mcy004,10.1093/aob/mcy004,Intraspecific ecological niche divergence and reproductive shifts foster cytotype displacement and provide ecological opportunity to polyploids,2018,Annals of Botany,,56,semantic_scholar,0,1,,exclude,no-spread
doi:10.1093/sysbio/syr114,10.1093/sysbio/syr114,Recurrent introgression of mitochondrial DNA among hares (Lepus spp.) revealed by species-tree inference and coalescent simulations.,2012,Systematic Biology,,124,semantic_scholar,0,1,,exclude,no-spread
doi:10.1371/journal.pone.0240225,10.1371/journal.pone.0240225,Shifts in bird ranges and conservation priorities in China under climate change,2020,PLoS ONE,,57,semantic_scholar,0,0,q2,pass,
doi:10.2139/ssrn.1345158,10.2139/ssrn.1345158,Free-Range Farming and the Optimal Public and Private Responses to a Possible Epidemic,2009,,,2,openalex+semantic_scholar,1,1,,exclude,no-spread
doi:10.3957/056.044.0201,10.3957/056.044.0201,"Habitat Selection by Transient African Wild Dogs (Lycaon pictus) in Northern KwaZulu-Natal, South Africa: Implications for Range Expansion",2014,,,22,semantic_scholar,0,1,,exclude,off-topic
doi:10.1007/s11284-006-0166-x,10.1007/s11284-006-0166-x,How does stochasticity in colonization accelerate the speed of invasion in a cellular automaton model?,2006,Ecological research,,30,openalex+semantic_scholar,1,0,q2,pass,
doi:10.31274/rtd-20201023-68,10.31274/rtd-20201023-68,Genetic studies of population structure and evolutionary history on the house fly Musca domestica L,2020,,,0,semantic_scholar,0,1,,exclude,no-spread
doi:10.3389/fevo.2021.689192,10.3389/fevo.2021.689192,Does Phenological Plasticity Help or Hinder Range Shifts Under Climate Change?,2021,Frontiers in Ecology and Evolution,,48,semantic_scholar,0,0,q2,pass,
doi:10.1007/s10530-023-03047-x,10.1007/s10530-023-03047-x,Transient population dynamics drive the spread of invasive wild pigs and reveal impacts of management in North America,2023,Biological Invasions,,7,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1134/s1062359023090078,10.1134/s1062359023090078,"Range Expansion and Population Patterns on the Wave of Colonization: The Midday Gerbil (Meriones meridianus Pallas 1773, Muridae, Rodentia) in Kalmykia Taken as a Model",2023,Biology Bulletin,,5,semantic_scholar,0,1,q2,pass,
doi:10.1186/1471-2148-8-21,10.1186/1471-2148-8-21,Phylogeography and Demographic History of Chinese Black-Spotted Frog Populations (Pelophylax nigromaculata): Evidence for Independent Refugia Expansion and Secondary Contact,2008,BMC Evolutionary Biology,,109,semantic_scholar,0,0,q2,pass,
ttl:conservationbiologyofcheetahsacinonyxjubatusschreber1775andafricanwilddogslycaonpictustemminck1820insouthafrica,,Conservation biology of cheetahs Acinonyx jubatus (Schreber 1775) and African wild dogs Lycaon pictus (Temminck 1820) in South Africa,2016,,,3,semantic_scholar,0,1,,exclude,no-spread
doi:10.1016/j.ympev.2017.09.004,10.1016/j.ympev.2017.09.004,"Evolution in Australia's mesic biome under past and future climates: Insights from a phylogenetic study of the Australian Rock Orchids (Dendrobium speciosum complex, Orchidaceae).",2018,Molecular Phylogenetics and Evolution,,20,semantic_scholar,0,1,,exclude,no-spread
doi:10.1002/ece3.73538,10.1002/ece3.73538,"Determinants of Seasonal Elephant Habitat Use in Small and Enclosed Conservation Area: Mwea National Reserve, Kenya",2026,Ecology and Evolution,,0,semantic_scholar,0,0,q2,pass,
doi:10.1371/journal.pone.0021725,10.1371/journal.pone.0021725,Warming Increases the Spread of an Invasive Thistle,2011,PLoS ONE,,46,openalex+semantic_scholar,1,0,q2,pass,
doi:10.3389/fpls.2021.745855,10.3389/fpls.2021.745855,Adaptation of Temperate Seagrass to Arctic Light Relies on Seasonal Acclimatization of Carbon Capture and Metabolism,2021,Frontiers in Plant Science,,7,semantic_scholar,0,0,q2,pass,
doi:10.1002/eap.1712,10.1002/eap.1712,Biological control effects of non-reproductive host mortality caused by insect parasitoids.,2018,Ecological Applications,,38,openalex+semantic_scholar,1,0,q2,pass,
doi:10.1371/journal.pone.0163863,10.1371/journal.pone.0163863,"Climate Change Influences on the Global Potential Distribution of the Mosquito Culex quinquefasciatus, Vector of West Nile Virus and Lymphatic Filariasis",2016,PLoS ONE,,219,semantic_scholar,0,0,q2,pass,
doi:10.3233/sji-230012,10.3233/sji-230012,Spatial Modelling of the effect of socio-economic indicators on the incidence rate of COVID-19 in Nigeria,2023,,,0,semantic_scholar,0,1,,exclude,no-spread
doi:10.3390/su12208526,10.3390/su12208526,Estimating Invasion Dynamics with Geopolitical Unit-Level Records: The Optimal Method Depends on Irregularity and Stochasticity of Spread,2020,Sustainability,,1,openalex+semantic_scholar,1,0,q2,pass,
doi:10.3329/bjms.v22i2.65000,10.3329/bjms.v22i2.65000,Influence of Meteorological Factors on Covid-19 Incidence in the Conditions of Ukraine,2023,Bangladesh Journal of Medical Science,,4,semantic_scholar,0,0,q2,pass,
doi:10.15407/zoo2026.02.149,10.15407/zoo2026.02.149,Patterns of range formation in Palaearctic mice (Murinae) based on ecological niche modelling,2026,Zoodiversity,,1,semantic_scholar,0,0,q2,pass,
